Species,long,lat,Time
Chione_elevata,273.08,20.42,Modern
Chione_elevata,279.96,26.77,Modern
Chione_elevata,282.88,26.65,Modern
Chione_elevata,281.3917,26.5125,Modern
Lunarca_ovalis,285.093823,38.937383,Modern
Lunarca_ovalis,278.977167,29.210815,Modern
Lunarca_ovalis,295.928744,10.997859,Modern
Lunarca_ovalis,281.76,33.916111,Modern
Lunarca_ovalis,279.163333,32.033333,Modern
Lunarca_ovalis,262.866667,27.766667,Modern
Lunarca_ovalis,281.326389,33.816667,Modern
Lunarca_ovalis,296.694778,10.670824,Modern
Lunarca_ovalis,278.926264,24.712691,Modern
Lunarca_ovalis,279.55,32.375,Modern
Lunarca_ovalis,287.32922,41.26542,Modern
Lunarca_ovalis,285.98202,40.55659,Modern
Lunarca_ovalis,280.16459,32.7587,Modern
Lunarca_ovalis,288.6775,41.66389,Modern
Lunarca_ovalis,285.09513,38.93171,Modern
Lunarca_ovalis,278.73614,29.8502,Modern
Lunarca_ovalis,284.75175,38.11679,Modern
Lunarca_ovalis,265.14798,29.26486,Modern
Lunarca_ovalis,278.5733,30.6976,Modern
Lunarca_ovalis,279.95369,26.77365,Modern
Lunarca_ovalis,268.1438,18.6119,Modern
Lunarca_ovalis,278.8755,29.4763,Modern
Lunarca_ovalis,265.9168,29.6638,Modern
Lunarca_ovalis,279.953681,26.77365,Modern
Lunarca_ovalis,283.38165,34.6303,Modern
Lunarca_ovalis,289.52645,19.77948,Modern
Lunarca_ovalis,289.75834,41.62214,Modern
Lunarca_ovalis,271.11744,30.3756,Modern
Lunarca_ovalis,287.18855,41.27483,Modern
Lunarca_ovalis,284.81,38.84,Modern
Lunarca_ovalis,287.1849,41.27954,Modern
Lunarca_ovalis,262.69485,20.97066,Modern
Lunarca_ovalis,288.58605,41.67455,Modern
Lunarca_ovalis,289.73361,41.60926,Modern
Lunarca_ovalis,289.33171,19.83238,Modern
Lunarca_ovalis,289.54933,41.5982,Modern
Lunarca_ovalis,284.55175,39.16706,Modern
Lunarca_ovalis,289.51886,41.64844,Modern
Lunarca_ovalis,263.22756,20.20727,Modern
Lunarca_ovalis,262.86195,27.74794,Modern
Lunarca_ovalis,289.35214,42.02561,Modern
Lunarca_ovalis,265.42009,29.47829,Modern
Lunarca_ovalis,304.90083,5.86008,Modern
Lunarca_ovalis,264.70111,28.91027,Modern
Lunarca_ovalis,289.34089,41.51637,Modern
Lunarca_ovalis,295.07266,18.37981,Modern
Lunarca_ovalis,290.01407,41.56172,Modern
Lunarca_ovalis,304.1,5.81667,Modern
Lunarca_ovalis,272.04052,30.22691,Modern
Lunarca_ovalis,262.79416,26.08143,Modern
Lunarca_ovalis,279.10747,29.03968,Modern
Lunarca_ovalis,280.23318,32.79802,Modern
Lunarca_ovalis,278.12288,26.65168,Modern
Lunarca_ovalis,292.84898,18.21616,Modern
Lunarca_ovalis,286.94572,40.66788,Modern
Lunarca_ovalis,289.60101,41.60342,Modern
Lunarca_ovalis,289.83617,41.66958,Modern
Lunarca_ovalis,293.38594,18.01108,Modern
Lunarca_ovalis,262.92315,27.79444,Modern
Lunarca_ovalis,283.98772,37.25863,Modern
Lunarca_ovalis,285.57707,39.36428,Modern
Lunarca_ovalis,262.86195,27.74794,Modern
Lunarca_ovalis,265.02188,29.19761,Modern
Lunarca_ovalis,289.83617,41.66958,Modern
Lunarca_ovalis,289.53731,41.57019,Modern
Lunarca_ovalis,279.95684,26.54557,Modern
